,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
88,5.954549613,0.002030222,6.590467206,6.012389656,increase,M,4,0.426625358,0.346434674
89,-2.314858599,9.677571054,6.712102463,-8.979187544,increase,M,5,2.723093123,2.717505016
90,-6.433529812,5.016879079,1.094817025,0.816430949,increase,M,6,7.031186617,7.00423287
91,1.317456332,7.477167883,4.526571694,5.319358823,increase,M,7,-3.571221702,-3.604874782
92,2.5750876,7.094550339,-2.570337285,0.675603412,increase,M,8,-0.871221702,-0.904874782
93,-1.829408956,-0.893025577,0.473469906,10.3875811,increase,M,9,-2.3447802,-2.408853163
94,2.803782696,-3.925165193,5.70695256,-3.193193054,increase,M,10,-2.704555035,-2.738208115
95,3.957211533,0.509037375,1.666232664,-1.578952357,increase,M,11,-0.448228476,-0.512301439
96,-4.955916071,0.623623557,-2.924141823,-2.680751199,increase,M,12,0.803211114,0.738804927
97,7.961619565,-0.145853668,-0.157795137,-3.049437393,increase,M,13,16.93315291,16.94139208
98,8.316060554,-0.247690673,-0.953662183,4.909893993,increase,M,14,4.695444965,4.661791885
99,3.958101402,-7.177300443,2.40871308,-3.673310982,increase,M,15,1.186804169,1.184510894
100,-3.494462755,-2.549113814,0.045213551,6.332907345,increase,M,16,4.862111632,4.828458551
101,3.06572558,-9.607123565,4.811130206,5.085037623,increase,M,17,-3.504555035,-3.538208115
102,-0.130491334,2.865396166,-1.628098628,-4.596603759,increase,M,18,2.828778298,2.795125218
103,5.092739679,12.03795382,-5.061723252,1.100763273,increase,M,19,7.195444965,7.161791885
105,14.99088849,-1.23996647,5.27522105,-42.21005366,increase,R,0,13.73745946,-1.304874782
106,14.02694938,5.554432352,-11.23921813,-9.663016431,increase,R,1,28.99558305,13.98530635
107,18.80617241,-3.341321366,-8.636136209,-17.47862723,increase,R,2,3.270792796,-11.77154145
108,28.72679448,0.13692545,-32.37798515,-1.993702626,increase,R,3,11.73745946,-3.304874782
109,7.448608944,0.48093571,-6.517682109,-28.79658112,increase,R,4,9.024556762,-5.984077662
110,19.61613371,-14.71898707,-3.18227622,-17.4190353,increase,R,5,34.53745946,19.49512522
111,21.48689308,-4.63894681,6.6976277,-28.70405694,increase,R,6,2.255255033,-12.75544208
112,9.357200514,-18.97541514,2.108076518,-12.75142706,increase,R,7,7.437777585,-7.656208423
113,0.207083912,6.128694197,-3.519844196,-16.45695339,increase,R,8,1.670792796,-13.37154145
114,30.61830586,2.025976173,3.338364274,-17.29433269,increase,R,9,8.281187438,-6.796306777
115,18.00079053,8.789997241,-14.44395214,-29.11824784,increase,R,10,23.7707928,8.728458551
116,-6.702281992,-4.704606295,-8.864774191,3.771719088,increase,R,11,11.23745946,-3.804874782
117,-0.997760913,-6.060997662,-2.723217302,-44.81310854,increase,R,12,28.60412613,13.56179188
118,42.73807797,14.16011374,-1.937059866,-20.5083572,increase,R,13,26.2707928,11.22845855
119,-2.699899099,34.25039043,-5.953949297,-4.499722337,increase,R,14,29.50412613,14.46179188
